poet,poet_slug,source_poet_label,attributed_century,within_poet_rank,source_record_id,book_title,poem_title,hemistich_1,hemistich_2,symbolism_score,imagery_score,figurative_score,music_score,compression_score,emotion_score,structure_score,novelty_score,overall_score,within_poet_percentile
عبید زاکانی,obeyd-zakani,عبید زاکانی,8,5,389509,غزلیات,غزل شماره ۵۳,ز سوز عشق من جانت بسوزد,همه پیدا و پنهانت بسوزد,94.48,86.35,79,97.6,88.68,86.33,90.74,17.38,83.47,99.86082115518441
عبید زاکانی,obeyd-zakani,عبید زاکانی,8,6,391922,عشاق‌نامه,بخش ۳۲ - مناجات,به حق صبر بی‌پایان ایوب,به آب چشم خون افشان یعقوب,96.53,86.35,79,59.97,94.57,97.38,78.72,63.58,83.34,99.82602644398052
عبید زاکانی,obeyd-zakani,عبید زاکانی,8,7,390128,قصاید,قصیده شماره ۱۱ - ایضا در مدح همو گوید,دمید باد دلاویز و بوی جان آورد,نوید کوکبه گل به گلستان آورد,92.59,98.21,79,92.42,98.24,0,87.55,97.98,81.05,99.79123173277662
عبید زاکانی,obeyd-zakani,عبید زاکانی,8,8,391182,رباعیات,رباعی شماره ۲۳,گر وصل تو دست من شیدا گیرد,وین درد و فراق راه صحراگیرد,83.87,81.39,94.87,84.51,99.85,92.83,42.64,29.52,80.5,99.75643702157272
عبید زاکانی,obeyd-zakani,عبید زاکانی,8,9,391431,عشاق‌نامه,بخش ۱۴ - رسیدن جواب عاشق بمعشوق,ز شوقش آتشی در جانم افتاد,دلم دریای خون از دیده بگشاد,99.73,84.15,85.38,71.65,95.12,67.28,56.54,56.64,80.26,99.72164231036882
عبید زاکانی,obeyd-zakani,عبید زاکانی,8,10,391933,عشاق‌نامه,بخش ۳۲ - مناجات,دل افکاری اسیری عشق بازی,به کوی عاشقی گردن فرازی,99.3,24.59,97.55,77.84,95.31,92.42,59.97,87.29,80.18,99.68684759916493
جامی,jami,جامی,9,1,433412,خردنامه اسکندری,بخش ۷ - خردنامه ارسطو,که: «شاها! دلت چشمه راز باد!,به روی تو چشم رضا باز باد!,95.49,81.39,79,91.92,92.77,95.89,89.78,64.81,87.52,100
جامی,jami,جامی,9,2,429374,سلامان و ابسال,بخش ۲۰ - بازماندن سلامان از ابسال و زاری کردن بر دوری وی,کای ز هجر خویش جانم سوخته!,وز جمال خویش چشمم دوخته!,96.53,86.35,79,83.97,92.66,72.64,76.58,86.52,85.16,99.98120300751879
جامی,jami,جامی,9,3,433181,لیلی و مجنون,بخش ۲۰ - مرگ مجنون,بر بالش خاک و بستر خار,جان داده ز درد فرقت یار,99.8,84.15,87.48,67.74,95.12,96.67,59.45,71.49,84.97,99.9624060150376
جامی,jami,جامی,9,4,430232,سبحه‌الابرار,بخش ۱۹ - در عشق,ای دلت شاه سراپرده عشق,جان تو زخم بلاخورده عشق,95.27,87.42,79,94.29,88.56,92.42,94.14,25.64,84.95,99.94360902255639
جامی,jami,جامی,9,5,429245,سلامان و ابسال,بخش ۱۴ - نصیحت کردن شاه و حکیم سلامان را و جواب گفتن وی,لیک چون یادم از آن ماه آمده‌ست،,جان من در ناله و آه آمده‌ست,91.55,97.79,96.52,88.13,89.34,88.43,52.23,14.31,82.68,99.92481203007519
جامی,jami,جامی,9,6,429295,سلامان و ابسال,بخش ۱۶ - در دریا نشستن سلامان و ابسال و به جزیره‌ای خرم رسیدن,هر دو شادان همچو جان و تن به هم,هر دو خرم چون گل و سوسن به هم,88.64,69.44,99.54,89.06,86.33,81.2,94.9,32.45,82.37,99.90601503759399
جامی,jami,جامی,9,7,432094,یوسف و زلیخا,بخش ۴۰ - بیرون آمدن یوسف از زندان و وفات عزیز مصر و تنهایی زلیخا,یکی را برکشد چون خور بر افلاک,یکی را افکند چون سایه بر خاک,95.84,78.97,99.77,78.75,84.09,33.24,95.86,89.42,82.2,99.88721804511277
جامی,jami,جامی,9,8,433433,خردنامه اسکندری,بخش ۸ - خردنامه افلاطون,چو دشمن به دست تو گردد اسیر،,از او سایه دوستی وامگیر!,95.13,84.15,98.18,65.51,83.68,98.81,15.13,88.95,82.05,99.86842105263159
جامی,jami,جامی,9,9,428950,سلسلهالذهب,بخش ۲۳ - گفتار در فضیلت جود و کرم,برق رخشان، کند جهان روشن,جود و احسان، جهان جان روشن!,99.58,93.62,85.38,96.53,90.18,0,97.3,85.2,81.92,99.84962406015038
جامی,jami,جامی,9,10,431024,یوسف و زلیخا,بخش ۱۶ - دیدن زلیخا عزیز مصر را از شکاف خیمه,همی نالید از جان و دل چاک,همی مالید روی از درد بر خاک,99.46,78.97,85.38,70.21,89.34,56.08,84.28,86.09,81.82,99.83082706766918
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,1,434766,شاه و درویش,بخش ۱۸ - راندن کویوال گدا را از مکتب به رقابت خود,راز او چون به روی روز افتاد,شب تاریک دل‌فروز افتاد,90.27,86.35,99.28,96.52,98.21,89.07,83.9,57.02,89.5,100
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,2,434534,شاه و درویش,بخش ۱۰ - آغاز قصه شاه و درویش,نی به دل داغ اشتیاقی داشت,نی به جان آتش فراقی داشت,95.96,92.94,79,98.71,93.66,67.28,99.63,60.66,87.3,99.96822370511599
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,3,434073,غزلیات,غزل شماره ۳۵,ز آب چشم من گل شد به راه عشق منزل‌ها,ندانم تا چه گل‌ها بشکفد آخر از این گل‌ها؟,97.83,88.42,97.55,81.93,90.08,75.01,41.81,88.27,85.33,99.93644741023196
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,4,436699,غزلیات,غزل شماره ۲۰۰,حیف باشد زخم تیر او بر چشم دشمنان,چشم زخم دوستان بادا نصیب دشمنش!,84.47,99.73,83.29,63.05,86.69,99.42,98.24,59.22,84.58,99.90467111534795
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,5,434339,شاه و درویش,بخش ۱,آتش از شوق داغ بر دل ماند,آب از گریه پای در گل ماند,98.64,78.97,89.44,91.24,86.77,86.71,92.14,17.32,83.68,99.87289482046393
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,6,435676,غزلیات,غزل شماره ۴۵,وه! چه عمرست این که در هجر تو بردم عاقبت؟,جان شیرین را به صد تلخی سپردم عاقبت,81.97,88.72,94.87,86.81,99.81,92.21,22.83,65.77,82.74,99.84111852557992
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,7,433995,غزلیات,غزل شماره ۲۳,نهادی بر دلم فراق و سوختی جان را,به داغ و درد دوری چند سوزی دردمندان را؟,89.04,89.56,79,83.76,97.76,83.89,31.89,86.38,82.61,99.80934223069589
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,8,435864,غزلیات,غزل شماره ۷۳,بی تو هر روز مرا ماهی و هر شب سالی‌ست,شب چنین، روز چنان، آه! چه مشکل حالی‌ست!,82.01,69.44,83.29,86.36,85.3,90.01,88.02,64.05,81.44,99.77756593581188
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,9,434286,رباعیات,رباعی شماره ۲۴,نی کام دل و راحت جان می‌خواهم,آنی که رضای توست آن می‌خواهم,83.34,81.39,57.7,97.1,96.38,61.55,89.81,89.96,81.4,99.74578964092787
هلالی جغتایی,helali-jaghatai,هلالی جغتایی,9,10,435526,شاه و درویش,بخش ۴۷ - به وصل رسیدن درویش و دوری او بار دیگر به جور رقیب,نیست هرگز از نشاط در دل من,گویی از غم سرشته شد گل من,73.34,78.97,90.15,86.85,91.83,82.3,81.36,60.69,81.3,99.71401334604386
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,1,460729,رضی‌الدین آرتیمانی,ساقی‌نامه,بکش باده تلخ و شیرین بخند,فنا گرد و بر کفر و بر دین بخند,95.13,90.72,97.29,92.76,99.83,33.24,80.7,97.03,86.62,100
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,2,461362,غزلیات,غزل شماره ۴۹,همه دردم همه داغم همه عشقم همه سوزم,همه در هم گذرد هر مه و سال و شب و روزم,93.18,87.42,97.29,85.04,95.71,99.79,92.56,14.38,86.55,99.93425378040762
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,3,460970,رضی‌الدین آرتیمانی,ترجیع بند,تا سایه به خاک ما فکندی,در سایه ماست مهر و افلاک,99.82,92.94,89.44,57.98,79.55,88.82,86.5,91.01,86.02,99.86850756081526
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,4,460856,رضی‌الدین آرتیمانی,سوگندنامه,به تنهاییم یار دیرین تویی,مرا یاری جان شیرین تویی,81.22,87.42,57.7,99.85,86.87,92.42,98.68,85.6,85.17,99.80276134122288
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,5,461068,غزلیات,غزل شماره ۷,در فراقم یاد آنشب همچو آب و آتش است,در مزاقم حسرت آن لب چو شیر و شکر است,93.29,68.43,99.96,87.17,99.79,82.78,97.46,18.91,83.79,99.7370151216305
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,6,461868,قصاید,قصیده,شرح غم فقیران از رنگ چهره خواه,درد دل اسیران از نور چهره خوان,96.45,99.73,79,44.47,99.18,88.43,78.52,68.18,82.86,99.67126890203814
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,7,460627,رضی‌الدین آرتیمانی,ساقی‌نامه,که خاکم گل از آب انگور کن,سرا پای من آتش طور کن,99.82,81.39,94.66,88.32,87.05,33.24,86.7,65.7,81.61,99.60552268244575
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,8,460837,رضی‌الدین آرتیمانی,سوگندنامه,به شام فراق دل آشفتگان,به صبح وصال بغم خفتگان,95.27,24.59,79,84.39,90.42,98.14,85.21,91.15,80.2,99.5397764628534
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,9,461448,غزلیات,غزل شماره ۶۲,دایم بیاد روی تو چون گل شکفته‌ایم,پیوسته در خیال تو خرم نشسته‌ایم,75.81,81.39,92.66,85.77,92.09,61.55,39.58,93.88,79.13,99.47403024326101
رضی‌الدین آرتیمانی,razi-al-din-artimani,رضی‌الدین آرتیمانی,10,10,461903,رباعیات,رباعی شماره ۱,باز آ باز آ، چو روح در تن باز آ,چون جان به بدن، چو گل بگلشن باز آ,99.43,68.43,99.97,96.46,85.66,0,97.79,70.77,78.74,99.40828402366864
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,1,457322,غزلیات,غزل شماره ۶,آنانکه شمع آرزو در بزم عشق افروختند,از تلخی جان کندنم، از عاشقی واسوختند,91.55,78.97,95.44,84.76,98.7,98.55,64.4,89.73,88.76,100
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,2,457327,غزلیات,غزل شماره ۷,دگر از درد تنهایی، به جانم یار می‌باید,دگر تلخ است کامم، شربت دیدار می‌باید,72,97.31,57.7,98.6,99.24,94.59,99.03,36.12,82.54,99.92069785884219
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,3,458267,نان و پنیر,بخش ۱ - بسم الله الرحمن الرحیم,خالص و صافی شوی از خاک پاک,نه ز آتش خوف و نه از آب پاک,98.26,24.59,89.44,87.73,85.12,84.19,88.11,96.51,81.02,99.84139571768438
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,4,457666,رباعیات,رباعی شماره ۵۶,غمهای جهان در دل پر غم داریم,وز بحر الم، دیده پر نم داریم,96.45,78.97,79,95.77,98.51,56.08,96.84,15.6,80.43,99.76209357652657
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,5,459517,مقطعات,شماره ۴,عید، هرکس را ز یار خویش، چشم عیدی است,چشم ما پر اشک حسرت، دل پر از نومیدی است,94.24,88.42,27.66,94.7,50.58,92.95,95.29,85.27,78.14,99.68279143536876
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,6,457728,دیوان اشعار,مخمس,بلبل به چمن زان گل رخسار نشان دید,پروانه در آتش شد و اسرار عیان دید,90.79,73.41,83.88,90.73,77.85,46.91,91.6,56.85,77.91,99.60348929421095
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,7,457531,مثنویات پراکنده,شماره ۹,روز از دود دلم تاریک و تار,شب چه روز آمد ز آه شعله بار,86.99,75.92,83.29,71.03,87.88,90.81,75.16,17.5,76.75,99.52418715305313
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,8,457519,مثنویات پراکنده,شماره ۸,رود محنت دهر از یاد من,شود شاد این جان ناشاد من,93.58,24.59,79,87.62,88.37,67.28,80.42,97.45,76.52,99.44488501189532
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,9,457626,رباعیات,رباعی شماره ۳۶,دل درد و بلای عشقش افزون خواهد,او دیده دل همیشه در خون خواهد,69.23,94.71,36.72,98.18,96.76,99.84,97.4,5.81,76.46,99.36558287073751
شیخ بهایی,sheikh-bahaei,شیخ بهایی,10,10,457491,مثنویات پراکنده,شماره ۵,نه بر دل تو را، از غم دوست،دردی,نه بر چهره از خاک آن کوی، گردی,93.58,73.41,79,78.56,90.01,46.91,84.84,38.41,75.47,99.2862807295797
عرفی,orfi,عرفی,10,1,463662,غزلها,غزل شماره ۴۰۲,جان می رود ای اشک ز دنباله روان باش,وی ناله تو هم چند قدم پیرو جان باش,99.24,69.44,85.38,92.31,92.26,81.2,96.75,96.3,88.72,100
عرفی,orfi,عرفی,10,2,462930,غزلها,غزل شماره ۲۸۷,بیار باده که جانم دمی ز ناله بر آید,هزار زمزمه از دل به یک پیاله بر آید,92.04,88.72,79,97.46,91.67,75.28,91.87,61.69,86.01,99.97425997425997
عرفی,orfi,عرفی,10,3,462706,غزلها,غزل شماره ۲۴۹,نسیم صبح چو برگ سمن فروریزد,جگر ز ناله مرغ چمن فروریزد,94.8,84.15,85.38,97.7,68.22,67.28,91.76,96.64,85.81,99.94851994851996
عرفی,orfi,عرفی,10,4,459823,غزلها,غزل شماره ۳۷,صد چشمه ی زهر از لب داغ دل ما ریخت,غم روغن تلخی به چراغ دل ما ریخت,94.6,88.72,79,97.62,94.46,75.28,92.3,35.75,84.79,99.92277992277992
عرفی,orfi,عرفی,10,5,463114,غزلها,غزل شماره ۳۱۸,غم چو شبخون می زند، هان دوستان لشگر کنید,جست و جویم گر کنید از بالش و بستر کنید,96.8,24.59,97.93,91.83,89.78,92.95,91.57,99.7,84.66,99.8970398970399
عرفی,orfi,عرفی,10,6,460517,غزلها,غزل شماره ۱۴۷,ترک جان در ره آن سرو روان این همه نیست,عشق اگر نرخ نهد قیمت جان این همه نیست,98.58,24.59,85.38,99.29,92.33,86.8,97.39,88.54,83.41,99.87129987129987
عرفی,orfi,عرفی,10,7,463467,غزلها,غزل شماره ۳۷۳,جان رفت و سوزد از تو دل ناتوان هنوز,شد خاک دیده مژه ام خون فشان هنوز,99.64,70.78,97.55,91.97,98.2,43.79,86.61,59.51,83.11,99.84555984555985
عرفی,orfi,عرفی,10,8,464274,غزلها,غزل شماره ۴۹۸,نیست غم کز درد هجران شهپرم بر خاک ریخت,اینک از جبرییل شوقت باز شهپر می خرم,97.23,70.78,85.38,40.68,98.2,98.98,72.89,99.62,82.52,99.81981981981983
عرفی,orfi,عرفی,10,9,463817,غزلها,غزل شماره ۴۲۵,ما گریبان دل از گل های غم پر کرده ایم,از شراب تلخکامی جام جم پر کرده ایم,98.73,69.44,85.38,97.18,94.46,41.78,92.36,67.01,82.15,99.79407979407979
عرفی,orfi,عرفی,10,10,463778,غزلها,غزل شماره ۴۱۹,غم می گزد لب من، من می گزم لب عشق,میرم به تلخی غم، نازم به مشرب عشق,82.69,69.44,57.7,89.46,92.43,96.67,88.38,88.53,82.05,99.76833976833976
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,1,456935,مثنویات,شماره ۳ - فی مرثیه امام حسین علیه‌السلام,ازین غم آفتاب از قصر افلاک,فکنده خویش را چون سایه بر خاک,99.66,81.39,99.77,60.59,99.85,87.44,34.22,97.19,84.77,100
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,2,451270,غزلیات,غزل شماره ۳۳۵,بیش ازین منت وصل و از رخ آن ماه مکش,گر کشد هجر تو را جان بده و آه مکش,90.79,87.42,79,89.34,89.72,77.4,89.31,67.05,84.71,99.99061825687212
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,3,452179,غزلیات,غزل شماره ۴۵۴,همچو شمع از مجلست گریان و سوزان می‌رویم,رشک بر رخ تاب در دل داغ بر جان می‌رویم,98.73,96.11,97.93,96.61,96.29,0,85.45,91.07,84.14,99.98123651374425
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,4,447702,ترکیب‌بندها,شماره ۲ - دوازده بند در مرثیه شاهنشاه مغفور شاه طهماسب صفوی انارالله برهانه,از بساط شش جهت دست غنیم جان چه برد,با بسیط نه فلک موج محیط غم چه کرد,97.96,69.44,85.38,66.97,95.76,87.33,64.02,99.44,83.73,99.97185477061637
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,5,448270,ترکیب‌بندها,شماره ۹ - فی مرثیه محمد قلی میرزا غفرالله ذنوبه,کافاق روی روز کند همچو شب سیاه,وز غم نه افتاب برآید دگر نه ماه,96.49,90.72,99.63,56.18,99.91,85.93,47.2,69.53,83.52,99.96247302748851
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,6,452002,غزلیات,غزل شماره ۴۲۹,گر من به مردن دل نهم آسوده جانی را چه غم,وز مهر من گرجان دهم نامهربانی را چه غم,97.56,24.59,85.38,96.69,86.75,98.85,86.77,96.81,83.45,99.95309128436062
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,7,454540,قصاید,قصیده شماره ۲۷ - فی مدح محمدخان ترکمان فی حاله نزوله به کاشان,دوش ز ره قاصدی خرم و خندان رسید,کز نفس او به دل رایحه جان رسید,93.58,73.41,79,94.74,96.22,46.91,91.49,85.64,82.79,99.94370954123276
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,8,450356,غزلیات,غزل شماره ۲۱۵,یک دلان خوش دلی از فتح سلطان یافتند,دشمنان سر باختند و دوستان جان یافتند,85.77,24.59,94.87,97.77,99.97,97.85,87.21,62.9,81.6,99.93432779810489
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,9,450277,غزلیات,غزل شماره ۲۰۴,دلا گذشت شب هجر و یار از سفر آمد,ز خواب غم بگشا دیده کافتاب برآمد,90.04,73.41,79,79.62,99.45,97.77,28.65,86.4,81.56,99.92494605497701
محتشم کاشانی,mohtasham-kashani,محتشم کاشانی,10,10,447793,ترکیب‌بندها,شماره ۳ - من نتایج افکاره فی مرثیه‌اخیه‌الصاحب الاجل الاکرام خواجه عبدالغنی,چرا تو جامه نکردی سیاه در غم من,چرا تو خاک نکردی بسر ز ماتم من,90.04,73.41,79,88.9,90.3,46.91,99.64,86.29,81.33,99.91556431184914
وحشی,vahshi,وحشی,10,1,437827,غزلیات,غزل ۱۳۵,گل چیست اگر دل ز غم آزاد نباشد,از گل چه گشاید چو دلی شاد نباشد,93.58,90.11,96.52,97.57,94.03,96.36,97.41,23.01,89.11,100
وحشی,vahshi,وحشی,10,2,447080,فرهاد و شیرین,در بیان وصل و هجران نکویان و رفتن شیرین به تماشای بیستون,ز درد جان گداز و آه دل سوز,ز شب روزش بتر بودی شب از روز,99.62,90.11,98.18,79.33,99.42,92,91.38,36.67,88.61,99.99048072346501
وحشی,vahshi,وحشی,10,3,442435,ترکیبات,در سوگواری قاسم‌بیگ قسمی,پشت من بشکست کوه درد جان فرسای من,باز افزاید همان این درد کار افزای من,90.04,90.11,79,88.76,98.05,85.46,89.25,84.46,88.23,99.98096144693002
وحشی,vahshi,وحشی,10,4,437926,غزلیات,غزل ۱۵۱,هر دلی کز عشق جان شعله اندوزش نبود,گر سراپا آتش سوزنده شد سوزش نبود,95.96,75.92,95.44,95.38,97.14,51.09,88.05,88.49,86.53,99.97144217039505
وحشی,vahshi,وحشی,10,5,441850,مثنویات,از نامه پرسوز و گدازی که شاعر شوریده دل به دلدار سفر کرده خود نگاشته است,علمدار سپاه جان گدازان,ترنم ساز بزم نوحه سازان,95.96,95.55,79,84.77,89.88,81.2,57.21,97.81,86.51,99.96192289386006
وحشی,vahshi,وحشی,10,6,444678,ناظر و منظور,رفتن شاهزاده منظور به شکار و باز را بر کبک انداختن و شام فراق ناظر را به صبح وصال مبدل ساختن,دلم رقاص شد این بیغمی چیست,به راه دیده اشک خرمی چیست,90.79,84.15,83.88,93.87,51.94,96.67,93.47,96.28,86.02,99.95240361732507
وحشی,vahshi,وحشی,10,7,444942,ناظر و منظور,دایره پرگار سخن را از پرگار خانه دو زبان ساختن و در میدانگاه خاتمه بیان علم فراغت افراختن و خاتمه سخن را به مناجات مثنی کردن و نامه کن و خامه قدرت تمام نمودن رساله رسالت به نعمت مهر محمدی ختم نمودن,سحر خیزی بسی کردم چو خورشید,که زر گردید خاک راه امید,99.39,84.15,97.93,70.71,95.12,84.65,53.24,84.99,85.91,99.9428843407901
وحشی,vahshi,وحشی,10,8,437219,غزلیات,غزل ۳۵,یاد او کردم ز جان سد آه درد آلود خاست,خوی گرمش در دلم بگذشت و از دل دود خاست,90.79,87.42,79,93.95,91.24,77.4,88.79,56.38,84.64,99.93336506425511
وحشی,vahshi,وحشی,10,9,438875,غزلیات,غزل ۳۱۳,سد دشنه بر دل می‌خورم و ز خویش پنهان می‌کنم,جان گریه بر من می‌کند من خنده بر جان می‌کنم,88.96,24.59,94.87,99.13,98.55,96.31,94.42,88.53,84.63,99.92384578772014
وحشی,vahshi,وحشی,10,10,438987,غزلیات,غزل ۳۳۲,شد صرف عمرم در وفا بیداد جانان همچنان,جان باختم در دوستی او دشمن جان همچنان,96.5,24.59,94.87,99.6,99.81,97.68,98.26,62.35,84.59,99.91432651118515
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,1,487983,غزلیات,غزل شماره ۹۰۰,نداشت دیده من بی‌تو تاب خنده صبح,ز اشک داد چو شبنم جواب خنده صبح,91.82,75.92,85.38,97.97,76.94,98.14,95.18,96.32,89.16,100
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,2,502733,غزلیات,غزل شماره ۲۱۹۴,قیامت‌ کرد گل در پیرهن بالیدنت نازم,جهان شد صبح‌ محشر زیر لب خندیدنت نازم,97.89,75.92,97.55,96.64,99.01,51.09,87.8,99.49,88.43,99.99689575960763
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,3,491975,غزلیات,غزل شماره ۱۲۴۶,همچو مینا غنچه رازم بهار آهنگ شد,پرتوی از خون دل بیرون دوید و رنگ شد,95.59,73.41,99.38,87.01,97.35,94.04,72.65,71.28,88.06,99.99379151921525
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,4,497127,غزلیات,غزل شماره ۱۶۹۹,خیال زلف‌ که واکرد راه در زنجیر,که عجز ناله ما کنده چاه در زنجیر,94.31,75.92,79,97.74,94.07,51.09,88.71,97.63,84.67,99.99068727882288
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,5,504259,غزلیات,غزل شماره ۲۳۲۷,دیده انتظار را دام امید کرده‌ایم,ای قدمت به چشم ما خانه سفید کرده‌ایم,82.25,95.4,57.7,96.44,95.44,95.24,84.96,60,84.22,99.9875830384305
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,6,490857,غزلیات,غزل شماره ۱۱۵۰,باز اشکم به خیالت چه فسون می‌ریزد,مژه می ا‌فشرم آیینه برون می‌ریزد,99.75,24.59,87.48,97.76,95.86,83.3,88.29,98.2,83.75,99.98447879803813
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,7,502729,غزلیات,غزل شماره ۲۱۹۳,زرنگ ناز چون گل بزم عشرت چیدنت نازم,چو شمع از شوخی‌ برق نگه بالیدنت نازم,86.54,73.41,97.93,99.07,72.6,46.91,92.78,97.57,83,99.98137455764574
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,8,477915,غزلیات,غزل شماره ۲۰,به مهر مادرگیتی مکش رنج امید اینجا,که خونها می‌خورد تا شیر می‌گردد سفید اینجا,72,75.92,57.7,95.98,98.58,99.63,85.41,86.52,82.64,99.97827031725338
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,9,502976,غزلیات,غزل شماره ۲۲۱۶,ز فیض‌ گریه سرشار افسردن فراموشم,به رنگ چشمه آب دیده دارد آتش جوشم,95.84,91.62,86.67,70.19,93.29,86.71,23.54,88.16,82.57,99.97516607686099
بیدل دهلوی,bidel-dehlavi,بیدل دهلوی,11,10,499692,غزلیات,غزل شماره ۱۹۲۳,گاه موج اشک و گاهی گرد افغانست دل,روزگاری شد به ‌کار عشق حیرانست دل,84.8,75.92,90.15,94.77,96.36,94.59,92.01,6.26,82.56,99.97206183646861
صائب تبریزی,saeb-tabrizi,صائب تبریزی,11,1,561515,غزلیات,غزل شماره ۵۱۷۳,آتشین شد چهره خاک ازمی گلرنگ عشق,چرخ شد خاکستری ازآتش بی رنگ عشق,98.2,91.62,97.55,93.09,98.1,88.43,91.52,96.31,94.6,100
صائب تبریزی,saeb-tabrizi,صائب تبریزی,11,2,556140,غزلیات,غزل شماره ۴۶۳۳,می شود از درد و داغ عشق دلها دیده ور,دربهاران می شود از لاله صحرا دیده ور,98.73,98.59,85.38,98.68,89.81,93.26,95.62,87.28,93.94,99.998708961101
صائب تبریزی,saeb-tabrizi,صائب تبریزی,11,3,576106,غزلیات,غزل شماره ۶۶۱۳,از اشک ماست پاکی دامان صبحگاه,از آه سرد ماست رگ جان صبحگاه,98.45,81.39,85.38,98.34,97.09,89.7,99.32,96.53,92.92,99.99741792220199
صائب تبریزی,saeb-tabrizi,صائب تبریزی,11,4,520196,غزلیات,غزل شماره ۹۸۱,پیش ما دشنام جانان از شکر شیرین ترست,روی تلخ بحر از آب گهر شیرین ترست,97.38,97.11,97.29,99.09,99.83,92,97.11,35.24,92.22,99.99612688330299
صائب تبریزی,saeb-tabrizi,صائب تبریزی,11,5,537082,غزلیات,غزل شماره ۲۷۰۲,گلشن حسن از بهار عشق خرم می شود,اشک بلبل رنگ چون گرداند شبنم می شود,98.51,73.41,97.93,91.35,95.59,99.57,79.85,96.89,92.07,99.994835844404
صائب تبریزی,saeb-tabrizi,صائب تبریزی,11,6,519153,غزلیات,غزل شماره ۸۹۳,روز روشن گل و شمع شب تارست شراب,برگ عیش و طرب لیل و نهارست شراب,99.39,90.11,89.44,98.17,91.24,84.19,90.2,87.57,92.04,99.99354480550498
صائب تبریزی,saeb-tabrizi,صائب تبریزی,11,7,551443,غزلیات,غزل شماره ۴۱۸۱,دل را سیاه آه غم آلود می کند,تاریک چشم روزنه را دود می کند,99.62,94.71,85.38,93.49,93.81,87.06,77.28,96.27,91.82,99.99225376660598
صائب تبریزی,saeb-tabrizi,صائب تبریزی,11,8,583710,متفرقات,شماره ۳۷۵,عشق چون شعله کشد اشک دمادم چه کند؟,پیش خورشید صف آرایی شبنم چه کند؟,90.79,75.92,96.52,93.22,97.14,98.46,88.05,96.78,91.79,99.99096272770699
صائب تبریزی,saeb-tabrizi,صائب تبریزی,11,9,584101,متفرقات,شماره ۵۵۳,بیا ای عشق جان پای در گل را به راه افکن,ز آه سردی آتش در دلم چون صبحگاه افکن,99.06,95.5,98.42,91.7,89.72,92.79,85.33,64.93,91.74,99.98967168880797
